"","day","temp","crime_data_count"
"1116",2,33.6,793
"1117",3,30.9,745
"1118",4,29.9,752
"1119",5,29.6,800
"1120",6,32.7,756
"1121",7,31.1,646
"1122",1,23.2,656
"1123",2,27.4,675
"1124",3,25.8,646
"1125",4,33.3,703
"1126",5,27,714
"1127",6,27,636
"1128",7,29.1,562
"1129",1,14.5,474
"1130",2,13.5,511
"1131",3,21.1,577
"1132",4,7.4,572
"1133",5,17.5,696
"1134",6,29.1,679
"1135",7,36,615
"1136",1,25.6,607
"1137",2,24.8,629
"1138",3,30.6,606
"1139",4,15.9,611
"1140",5,11,632
"1141",6,18.6,597
"1142",7,4.5,552
"1143",1,11.8,537
"1144",2,16.5,597
"1145",3,7.3,511
"1146",4,-1.8,463
"1147",5,3.3,651
"1148",6,21.7,652
"1149",7,21.4,593
"1150",1,4.2,572
"1151",2,11.3,628
"1152",3,21.1,571
"1153",4,16.8,517
"1154",5,6,638
"1155",6,6,545
"1156",7,18.3,757
"1157",1,21.3,658
"1158",2,28.2,636
"1159",3,24.1,562
"1160",4,11.6,612
"1161",5,12.4,712
"1162",6,31.7,697
"1163",7,34.9,625
"1164",1,36.8,726
"1165",2,40.5,753
"1166",3,42.1,746
"1167",4,41.8,751
"1168",5,47,814
"1169",6,51,798
"1170",7,45.2,778
"1171",1,58,779
"1172",2,44.6,692
"1173",3,36.8,690
"1174",4,41.7,717
"1175",5,42.5,775
"1176",6,42.5,689
"1177",7,32.4,656
"1178",1,29.1,592
"1179",2,29.7,639
"1180",3,36.6,723
"1181",4,36.7,684
"1182",5,29,725
"1183",6,26.8,657
"1184",7,31.6,619
"1185",1,46,719
"1186",2,48.7,693
"1187",3,51.9,927
"1188",4,58.5,794
"1189",5,50.1,710
"1190",6,39.7,694
"1191",7,53.5,673
"1192",1,45.5,676
"1193",2,40.4,603
"1194",3,44.5,679
"1195",4,50.5,648
"1196",5,52.6,714
"1197",6,47.7,720
"1198",7,54.7,773
"1199",1,60.1,735
"1200",2,55.8,767
"1201",3,54,799
"1202",4,52.9,686
"1203",5,60.2,785
"1204",6,59.6,769
"1205",7,55.6,703
"1206",1,48.6,743
"1207",2,44.3,663
"1208",3,39.7,682
"1209",4,42.3,731
"1210",5,44.2,761
"1211",6,43.5,695
"1212",7,44.8,718
"1213",1,46.3,721
"1214",2,46.3,718
"1215",3,49.7,766
"1216",4,45.6,666
"1217",5,50,952
"1218",6,62.1,686
"1219",7,67.4,745
"1220",1,65.1,779
"1221",2,52.1,696
"1222",3,55.6,739
"1223",4,66.9,826
"1224",5,71.1,807
"1225",6,59.5,685
"1226",7,48.5,741
"1227",1,56.4,748
"1228",2,52,757
"1229",3,47.6,767
"1230",4,52.2,755
"1231",5,63.2,822
"1232",6,69,882
"1233",7,72.3,836
"1234",1,72.1,758
"1235",2,50.4,707
"1236",3,43.5,729
"1237",4,51.8,745
"1238",5,58.8,824
"1239",6,61.8,798
"1240",7,66.1,687
"1241",1,70.4,708
"1242",2,70.6,771
"1243",3,68.4,737
"1244",4,69.5,800
"1245",5,72.1,828
"1246",6,64.4,719
"1247",7,47.5,666
"1248",1,51.2,954
"1249",2,55.5,772
"1250",3,62.3,777
"1251",4,68.2,721
"1252",5,65.3,786
"1253",6,60.1,758
"1254",7,65.7,739
"1255",1,73.1,681
"1256",2,69.7,731
